start -> translation: (0.96, 0.492, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 5.352138482938146, y: 4.584738092142266
x: 4.525400287300453, y: 4.502881061812366
x: 4.141364263447338, y: 5.070632283028085
x: 4.303652619885614, y: 5.455042111229611
x: 4.2720816821085235, y: 6.198275522554487
x: 4.2937344957472785, y: 6.426637723822754
x: 4.062199766337907, y: 6.472529738976124
x: 3.7846886678388354, y: 5.923370087201642
x: 3.697114371279222, y: 5.706100549412295
x: 3.7171552749754535, y: 4.731449692793942
x: 3.715313617672969, y: 3.8140258033598724
x: 3.270108236250157, y: 3.1802066980200077
x: 2.6351836513397284, y: 2.8140237551014318
x: 2.0896453388121174, y: 3.2394860924907585
x: 2.172113843564785, y: 3.7610553857373907
x: 2.3815125698854427, y: 4.635166401268162
x: 2.6090676769943655, y: 5.578936379715171
x: 2.8375364240120167, y: 6.526536465950865
x: 2.946409894480405, y: 6.9782219871096665
x: 2.3734878866131575, y: 7.190793739415695
x: 1.8877487806983466, y: 7.369234953826349
x: 1.6585939777838135, y: 7.453418697369402
x: 1.2092863972135344, y: 7.5342488858759005
x: 0.7102767269061135, y: 7.952205334784468
x: 1.0345637187141679, y: 8.492905006719992
x: 1.7191913652294595, y: 8.407589194120415
x: 1.9469342700496555, y: 8.241139397874852
x: 2.8830276189585335, y: 7.954834144743229
x: 3.200568749397737, y: 7.845421585769473
x: 3.289779128913732, y: 8.304664357709578
x: 2.9779806903227373, y: 8.667489624639614
x: 2.7199675421562617, y: 9.013679595523044
x: 2.1480504869282306, y: 9.160995775098081
x: 1.6835793141692432, y: 8.975485427842893
x: 0.9033692040620911, y: 8.94747156068613
x: 0.7452738332294914, y: 9.024408261101929
x: 0.4231746708041883, y: 8.240196166758475
x: 0.2862103713489978, y: 7.896785614774908
x: 0.19576976768165033, y: 7.670027321497941
x: 0.10540501329889965, y: 7.443461891880936
x: 0.027442687864613468, y: 7.019155681324413
x: 0.3656965352690082, y: 6.807373286397897
x: 0.62504349050126, y: 6.512846377576421
x: 0.9127431652994265, y: 6.58100038414769
x: 1.5786188186650751, y: 6.3534831975660735
x: 1.6293857879705953, y: 6.186042512987127
x: 2.2840308489900094, y: 5.971406350183316
x: 2.4716276591259225, y: 5.70580432716362
x: 2.193339960081408, y: 5.0085281964994754
x: 2.0920302743862678, y: 4.78766638519418
x: 1.9894678276240705, y: 4.564073185556405
x: 1.8618454053747202, y: 4.046682965327136
x: 1.528140819364517, y: 3.5283245055790298
x: 1.0817195638214603, y: 3.70820605117548
x: 0.7380813039342561, y: 4.347297209049676
x: 1.027867220741839, y: 4.74726167833254
x: 1.1815035050455962, y: 5.126177744071381
x: 0.7717363620507285, y: 5.340987315203467
x: -0.018651287960921945, y: 5.730099271585811
x: -0.17931069047643333, y: 5.620952392088331
x: -0.37522457657990155, y: 5.307411695673539
x: -0.504526797607908, y: 5.1004595885250605
x: -0.5923600917460415, y: 4.659653353288244
x: -0.7783330904940805, y: 3.897600865403989
x: -1.0076720350633221, y: 3.5595357567822177
x: -0.8788342487583525, y: 3.3175525347463783
x: -0.6853786937563896, y: 3.168813896051549
x: 0.04910716253612208, y: 3.0271057816729154
x: 0.34616382599269613, y: 2.9652244231735834
x: 0.8191807720421722, y: 3.533084579219936
x: 1.2978474441930061, y: 3.4817471775115036
x: 1.7347304226450122, y: 2.794994240828469
x: 1.3575263701094362, y: 2.234063137835198
x: 1.1024862415758274, y: 1.9062668509972482
x: 0.6472238840315709, y: 1.2921035089825492
x: -0.03032732455590851, y: 1.2945425231621321
x: -0.28667877410304005, y: 1.7276614486998527
x: -0.21946091098079493, y: 1.8168603763685518
x: -0.5388141778314629, y: 1.805092363157237
x: -1.0648186772845014, y: 2.220117407864954
x: -1.0417230775907436, y: 2.3444821614684312
x: -1.507082540845271, y: 2.3984185701220366
x: -1.7403596206074294, y: 2.206049879231605
x: -1.7782081797044138, y: 2.146725645818486
